% Model:              Berian_potential_2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 7 2024, 11:20
% Dimension:          3
% Nodes:              9882
% Expressions:        1
% Description:        Volume
% x                       y                        z                        Magnetic scalar potential
-1.1352028476999008       10.686360693808268       2.3479799011924394       -1.7146341683567382E-6
-1.5105913518341225       10.682806553226127       2.14377188947724         -2.4481758244912436E-6
-1.1417279051745368       10.768709425206966       1.9316714798340802       -1.9979647252977664E-6
2.145993542177411         0                        -10.788638084435533      4.540752985723778E-6
2.567899002414959         0                        -10.696069124374441      5.40598732028482E-6
2.3210926219849792        0.37604440470295064      -10.745748910423064      5.04456251859727E-6
-3.7025147881254927       7.843832396152112        -6.765033450381941       -6.797781463632937E-6
-4.04961091987573         7.605932774433865        -6.8374291973238         -7.5423375559541264E-6
-3.7077265113099163       7.56506340593094         -7.07266426331507        -6.819016158402705E-6
1.8856141484905693        6.8453640068870785       8.401514797715173        3.933054554598303E-6
1.885219715640444         7.172079354896644        8.12448302052665         3.922756605171006E-6
